Year,Life expectancy at birth (historical)
1950,59.3
1951,59.8
1952,60.5
1953,61.5
1954,62.4
1955,63.0
1956,63.6
1957,64.1
1958,64.6
1959,65.3
1960,66.2
1961,66.9
1962,67.3
1963,68.0
1964,68.8
1965,69.6
1966,69.9
1967,70.3
1968,70.7
1969,70.9
1970,71.3
1971,71.9
1972,72.4
1973,72.9
1974,73.5
1975,73.6
1976,73.7
1977,73.4
1978,73.6
1979,74.0
1980,74.9
1981,75.4
1982,75.6
1983,75.8
1984,76.1
1985,76.6
1986,76.8
1987,77.0
1988,77.1
1989,77.2
1990,77.5
1991,77.7
1992,78.0
1993,78.3
1994,78.7
1995,79.2
1996,79.5
1997,79.7
1998,80.1
1999,80.3
2000,80.7
2001,81.1
2002,81.3
2003,81.2
2004,81.4
2005,81.8
2006,82.0
2007,82.2
2008,82.4
2009,82.6
2010,83.0
2011,83.2
2012,83.6
2013,83.8
2014,84.1
2015,84.3
2016,84.5
2017,84.9
2018,85.2
2019,85.3
2020,85.2
2021,85.5
